回号,抽せん日,当せん番号,BOX,直近BOX3回
第0001回,1994/10/07,191,119,
第0002回,1994/10/14,988,889,
第0003回,1994/10/21,194,149,
第0004回,1994/10/28,105,015,
第0005回,1994/11/04,592,259,
第0006回,1994/11/11,792,279,
第0007回,1994/11/18,708,078,
第0008回,1994/11/25,234,234,
第0009回,1994/12/02,243,234,第0008回
第0010回,1994/12/09,340,034,
第0011回,1994/12/16,326,236,
第0012回,1994/12/23,247,247,
第0013回,1994/12/30,229,229,
第0014回,1995/01/06,743,347,
第0015回,1995/01/10,019,019,
第0016回,1995/01/13,179,179,
第0017回,1995/01/17,475,457,
第0018回,1995/01/20,291,129,
第0019回,1995/01/24,852,258,
第0020回,1995/01/27,502,025,
第0021回,1995/01/31,558,558,
第0022回,1995/02/03,951,159,
第0023回,1995/02/07,912,129,第0018回
第0024回,1995/02/10,039,039,
第0025回,1995/02/14,458,458,
第0026回,1995/02/17,984,489,
第0027回,1995/02/21,917,179,第0016回
第0028回,1995/02/24,789,789,
第0029回,1995/02/28,589,589,
第0030回,1995/03/03,725,257,
第0031回,1995/03/07,073,037,
第0032回,1995/03/10,547,457,第0017回
第0033回,1995/03/14,063,036,
第0034回,1995/03/17,634,346,
第0035回,1995/03/21,333,333,
第0036回,1995/03/24,405,045,
第0037回,1995/03/28,168,168,
第0038回,1995/03/31,389,389,
第0039回,1995/04/04,587,578,
第0040回,1995/04/07,304,034,第0010回
第0041回,1995/04/11,048,048,
第0042回,1995/04/14,228,228,
第0043回,1995/04/18,922,229,第0013回
第0044回,1995/04/21,697,679,
第0045回,1995/04/25,970,079,
第0046回,1995/04/28,298,289,
第0047回,1995/05/02,989,899,
第0048回,1995/05/05,202,022,
第0049回,1995/05/09,476,467,
第0050回,1995/05/12,042,024,
第0051回,1995/05/16,802,028,
第0052回,1995/05/19,717,177,
第0053回,1995/05/23,889,889,第0002回
第0054回,1995/05/26,226,226,
第0055回,1995/05/30,728,278,
第0056回,1995/06/02,929,299,
第0057回,1995/06/06,836,368,
第0058回,1995/06/09,383,338,
第0059回,1995/06/13,410,014,
第0060回,1995/06/16,980,089,
第0061回,1995/06/20,542,245,
第0062回,1995/06/23,725,257,第0030回
第0063回,1995/06/27,251,125,
第0064回,1995/06/30,260,026,
第0065回,1995/07/04,588,588,
第0066回,1995/07/07,512,125,第0063回
第0067回,1995/07/11,512,125,"第0063回, 第0066回"
第0068回,1995/07/14,750,057,
第0069回,1995/07/18,902,029,
